entidad_txt,legislatura,legentidad,periodo,year1,year2,year3,year4,year5,presidentas_org_directivos_pct,mujeres_org_directivos_pct,presidentas_cduras,presidentes_cduras,presidencias_cduras,presidentas_duras_pct,mujeres_cduras_promedio,presidentas_cblandas,presidentes_cblandas,presidencias_cblandas,presidentas_cblandas_pct,mujeres_cblandas_promedio,unidad,estudios,lenguaje,descriptiva,hombres_mr,mujeres_mr,hombres_rp,mujeres_rap,hombres_tot,mujeres_tot,curules,informal,law_name,law_publication_year,ifreg,yr_first_gender_law,age_first_gender_law,state_gpd,state_gpd_rescaled,state_gpd_rescaled_lag_1,state_gpd_rescaled_lag_2,state_gpd_rescaled_lag_3,party_alternation,population,state_gpd_per_capita,state_gpd_per_capita_rescaled,year_info_inegi,percent_urban_pop,percent_pop_high_edu,avg_yr_school,entidad,od_presidentas,od_integrantes,duras_presidentas,duras_integrantes,blandas_presidentas,blandas_integrantes,_est_od01,_est_od02,_est_dur01,_est_dur02,_est_blan01,_est_blan02,_est_unidad,_est_estudios,_est_lenguaje
Aguascalientes,Aguascalientes 1 (2016-2018),Leg. 1,2016-2018,2016,2017,2018,,,0,37.5,7,8,15,46.667,40.667,6,7,13,46.153999,55.384998,0,0,1,48.147999,7,11,7,2,14,13,27,1,Código Electoral del Estado de Aguascalientes,2015,4,2003,13,211672.47,.0097531313,.0089914994,.0085533923,.0075533632,1,1355321,156178.84,.07964278,2015,80.007149,20.700001,9.7299995,Aguascalientes,0,.375,.46667001,.40667,.46153998,.55385,1,1,1,1,1,1,1,1,1
Aguascalientes,Aguascalientes 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,0,43.900002,7,7,14,50,55.217999,7,6,13,53.846001,49.230999,1,0,1,51.852001,9,9,4,5,13,14,27,2,Código Electoral del Estado de Aguascalientes,2015,4,2003,15,224891.59,.010501587,.0100381,.0097531313,.0089914994,1,1395794,161120.91,.083284818,2020,84.084251,20.700001,10.35,Aguascalientes,0,.43900001,.5,.55217999,.53846002,.49230999,1,1,1,1,1,1,1,1,1
Baja California,Baja California 1 (2016-2019),Leg. 1,2016-2019,2016,2017,2018,2019,,0,43.470001,1,1,2,50,38.75,,,,,,0,0,0,32,11,6,6,2,17,8,25,0,Ley Electoral del Estado de Baja California y Ley de Partidos Políticos del Estado de Baja California,2015,4.5,2006,10,535552.63,.028090971,.026726836,.024839289,.024126044,1,3403335,157361.13,.080514066,2015,91.106094,19.4,9.7600002,Baja California,0,.43470001,.5,.38749999,,,1,1,1,1,0,0,1,1,1
Baja California,Baja California 2 (2019-2021),Leg. 2,2019-2021,2019,2020,2021,,,66.666,47.610001,4,9,13,30.768999,38.369999,7,6,13,53.846001,55.476002,0,0,0,48,8,9,5,3,13,12,25,0,Ley Electoral del Estado de Baja California y Ley de Partidos Políticos del Estado de Baja California,2015,4.5,2006,13,575784,.030368838,.029817475,.029097352,.028090971,1,3578561,160898.2,.083120696,2020,93.664665,19.4,10.2,Baja California,.66666001,.4761,.30768999,.38369998,.53846002,.55476004,1,1,1,1,1,1,1,1,1
Baja California Sur,Baja California Sur 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,40,61.400002,,,,,,,,,,,0,0,1,47.618999,9,7,2,3,11,10,21,1,Ley Electoral del Estado de Baja California Sur,2014,4.5,2003,12,130520.64,.0051583792,.0043377611,.0042811772,.0044124308,1,719846,181317.45,.098168597,2015,88.073097,21.1,9.9099998,Baja California Sur,.40000001,.61400002,,,,,1,1,0,0,0,0,1,1,1
Baja California Sur,Baja California Sur 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,50,58.919998,6,7,13,46.153999,43.938999,8,11,19,42.105,60.526001,1,0,1,57.143002,9,7,0,5,9,12,21,2,Ley Electoral del Estado de Baja California Sur,2014,4.5,2003,15,173200.59,.0075748842,.0061693699,.005352471,.0051583792,1,771294,224558.47,.13003491,2020,91.114372,21.1,10.34,Baja California Sur,.5,.58919996,.46153998,.43939,.42104998,.60526001,1,1,1,1,1,1,1,1,1
Campeche,Campeche 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,40,61.419998,4,10,14,28.570999,40,5,7,12,41.667,71.667,1,0,,57.143002,10,11,5,9,15,20,35,,Ley de Instituciones y Procedimientos Electorales del Estado de Campeche,2014,5,2002,13,637604.63,.033869073,.036608119,.038595669,.03823908,0,916832,695443.25,.47705191,2015,75.292664,20.299999,9.1400003,Campeche,.40000001,.6142,.28570998,.40000001,.41666999,.71666998,1,1,1,1,1,1,1,1,0
Campeche,Campeche 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,54.540001,47.43,9,5,14,64.286003,52.856998,7,8,15,46.667,53.333,1,0,0,51.429001,12,9,5,9,17,18,35,1,Ley de Instituciones y Procedimientos Electorales del Estado de Campeche,2014,5,2002,16,529465.69,.027746333,.028222889,.031774595,.033869073,0,967319,547353.75,.36791784,2020,75.033905,20.299999,9.6300001,Campeche,.54540002,.4743,.64286005,.52857,.46667001,.53333002,1,1,1,1,1,1,1,1,1
Chiapas,Chiapas 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,0,54.830002,9,10,19,47.368,60.150002,14,7,21,66.667,67.347,0,1,1,60,11,13,5,11,16,24,40,2,Código de Elecciones y Participacion Ciudadana,2014,2,2005,10,287811.84,.014064081,.014416102,.01367417,.013889796,1,5307819,54224.125,.0045075859,2015,49.716267,11.7,7.29,Chiapas,0,.54830003,.47367999,.60150003,.66667002,.67347002,1,1,1,1,1,1,1,1,1
Chiapas,Chiapas 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,33.330002,48.139999,9,10,19,47.368,59.398998,19,4,23,82.609001,69.358002,0,1,1,65,11,13,3,13,14,26,40,2,Código de Elecciones y Participacion Ciudadana,2014,2,2005,13,267664.13,.012923334,.01348481,.014020056,.014064081,1,5563869,48107.555,0,2020,49.184822,11.7,7.7800002,Chiapas,.33330002,.48139998,.47367999,.59398997,.82609004,.69358003,1,1,1,1,1,1,1,1,1
