entidad_txt,legislatura,legentidad,periodo,year1,year2,year3,year4,year5,presidentas_org_directivos_pct,mujeres_org_directivos_pct,presidentas_cduras,presidentes_cduras,presidencias_cduras,presidentas_duras_pct,mujeres_cduras_promedio,presidentas_cblandas,presidentes_cblandas,presidencias_cblandas,presidentas_cblandas_pct,mujeres_cblandas_promedio,unidad,estudios,lenguaje,descriptiva,hombres_mr,mujeres_mr,hombres_rp,mujeres_rap,hombres_tot,mujeres_tot,curules,informal,law_name,law_publication_year,ifreg,yr_first_gender_law,age_first_gender_law,state_gpd,state_gpd_rescaled,state_gpd_rescaled_lag_1,state_gpd_rescaled_lag_2,state_gpd_rescaled_lag_3,party_alternation,population,state_gpd_per_capita,state_gpd_per_capita_rescaled,year_info_inegi,percent_urban_pop,percent_pop_high_edu,avg_yr_school,entidad,prop_od_presidentas,prop_od_integrantes,duras_presidentas,duras_integrantes,blandas_presidentas,blandas_integrantes,prop_comisiones_presidentas ,prop_comisiones_integrantes
Aguascalientes,Aguascalientes 1 (2016-2018),Leg. 1,2016-2018,2016,2017,2018,,,0,37.5,7,8,15,46.66699982,40.66699982,6,7,13,46.15399933,55.38499832,0,0,1,48.14799881,7,11,7,2,14,13,27,1,C√≥digo Electoral del Estado de Aguascalientes,2015,4,2003,13,211672.4688,0.009753131,0.008991499,0.008553392,0.007553363,1,1355321,156178.8438,0.07964278,2015,80.00714874,20.70000076,9.729999542,Aguascalientes,0,0.375,0.466670007,0.406670004,0.461539984,0.553849995,0.464285714,0.475
Baja California,Baja California 1 (2016-2019),Leg. 1,2016-2019,2016,2017,2018,2019,,0,43.47000122,1,1,2,50,38.75,,,,,,0,0,0,32,11,6,6,2,17,8,25,0,Ley Electoral del Estado de Baja California y Ley de Partidos Pol√≠ticos del Estado de Baja California,2015,4.5,2006,10,535552.625,0.028090971,0.026726836,0.024839289,0.024126044,1,3403335,157361.125,0.080514066,2015,91.10609436,19.39999962,9.760000229,Baja California,0,0.434700012,0.5,0.387499988,,,0.5,0.3875
Baja California Sur,Baja California Sur 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,40,61.40000153,,,,,,,,,,,0,0,1,47.61899948,9,7,2,3,11,10,21,1,Ley Electoral del Estado de Baja California Sur,2014,4.5,2003,12,130520.6406,0.005158379,0.004337761,0.004281177,0.004412431,1,719846,181317.4531,0.098168597,2015,88.07309723,21.10000038,9.909999847,Baja California Sur,0.400000006,0.614000022,,,,,0,0
Campeche,Campeche 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,40,61.41999817,4,10,14,28.57099915,40,5,7,12,41.66699982,71.66699982,1,0,,57.14300156,10,11,5,9,15,20,35,,Ley de Instituciones y Procedimientos Electorales del Estado de Campeche,2014,5,2002,13,637604.625,0.033869073,0.036608119,0.038595669,0.03823908,0,916832,695443.25,0.477051914,2015,75.29266357,20.29999924,9.140000343,Campeche,0.400000006,0.614199996,0.285709977,0.400000006,0.416669995,0.716669977,0.346153846,0.546153846
Chiapas,Chiapas 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,0,54.83000183,9,10,19,47.36800003,60.15000153,14,7,21,66.66699982,67.34700012,0,1,1,60,11,13,5,11,16,24,40,2,C√≥digo de Elecciones y Participacion Ciudadana,2014,2,2005,10,287811.8438,0.014064081,0.014416102,0.01367417,0.013889796,1,5307819,54224.125,0.004507586,2015,49.71626663,11.69999981,7.289999962,Chiapas,0,0.548300028,0.47367999,0.601500034,0.666670024,0.67347002,0.575,0.639285714
Chihuahua,Chihuahua 1 (2016-2018),Leg. 1,2016-2018,2016,2017,2018,,,75,46.65999985,6,3,9,66.66699982,40,7,9,16,43.75,52.60400009,1,0,0,51.51499939,9,13,7,4,16,17,33,1,Ley Electoral del Estado de Chihuahua,2015,5,1997,19,534205.5625,0.028014697,0.026680602,0.025267987,0.024735577,1,3649416,146381.1094,0.07242237,2015,86.07648468,18.79999924,9.470000267,Chihuahua,0.75,0.466600001,0.666670024,0.400000006,0.4375,0.526040018,0.52,0.480666667
Ciudad de México,CDMX 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,8.300000191,47.63999939,4,9,13,30.7689991,34.95700073,16,7,23,69.56500244,56.10800171,0,1,0,45.45500183,24,16,12,14,36,30,66,1,C√≥digo de Instituciones y Procedimientos Electorales del Distrito Federal,2014,3.5,1999,16,2869793,0.160253808,0.153389245,0.149115309,0.1468997,1,9058734,316798.4375,0.198010877,2015,99.46021271,32.09999847,11.11999989,Ciudad de México,0.083000004,0.476399988,0.307689995,0.349570006,0.695650041,0.561080039,0.555555556,0.484700176
Coahuila,Coahuila 1 (2015-2017),Leg. 1,2015-2017,2015,2016,2017,,,33.33000183,45.70999908,6,11,17,35.29399872,43.29100037,9,7,16,56.25,59.08000183,0,0,1,36,8,8,8,1,16,9,25,1,C√≥digo Electoral del Estado de Coahuila de Zaragoza,2010,2.5,2001,14,563928.4375,0.029697586,0.029430836,0.028241256,0.028883591,0,3000556,187941.3125,0.103050031,2015,90.91371155,21.5,9.899999619,Coahuila,0.333300024,0.457100004,0.352939993,0.432909995,0.5625,0.590800047,0.4375,0.505274471
Colima,Colima 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,18.75,30.84000015,6,16,22,27.27300072,34.59500122,9,10,18,50,45.34199905,1,0,0,36,11,5,5,4,16,9,25,1,C√≥digo Electoral del Estado de Colima,2014,3,1999,16,95878.0625,0.003196943,0.003073807,0.00294467,0.002894723,0,721696,132851.0469,0.062451433,2015,89.03203583,22,9.529999733,Colima,0.1875,0.308400005,0.272729993,0.345950007,0.5,0.453419983,0.384057971,0.406694272
Durango,Durango 1 (2016-2018),Leg. 1,2016-2018,2016,2017,2018,,,20,50,5,12,17,29.41200066,40.45299911,11,8,19,57.89500046,56.47900009,0,0,0,44,8,7,6,4,14,11,25,0,Ley de Instituciones y Procedimientos Electorales para el Estado de Durango,2014,5,2000,16,200660.9688,0.009129668,0.008689575,0.008694134,0.008472424,0,1801963,111356.875,0.046611376,2015,70.32501221,16.70000076,9.149999619,Durango,0.200000003,0.5,0.294120014,0.404529989,0.578949988,0.56479001,0.444444444,0.489109347
Estado de México,México 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,29.62000084,41.47999954,11,26,37,29.72999954,30.16399956,12,27,39,30.7689991,42.86299896,1,0,0,37.33300018,26,19,21,9,47,28,75,1,C√≥digo Electoral del Estado de M√©xico,2014,4,1999,16,1445183.5,0.079593547,0.077165067,0.075062357,0.073637836,0,16453628,87833.72656,0.029276075,2015,86.0920639,17.89999962,9.529999733,Estado de México,0.296200007,0.414799988,0.297299981,0.301640004,0.307689995,0.428629994,0.283333333,0.370576559
Guanajuato,Guanajuato 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,27.27000046,36.36000061,5,7,12,41.66699982,41.90499878,5,2,7,71.42900085,57.14300156,0,0,1,44.44400024,12,10,8,6,20,16,36,1,Ley de Instituciones y Procedimientos Electorales para el Estado de Guanajuato,2014,5,2002,13,653849.9375,0.034788869,0.032877114,0.0314328,0.030093554,1,5930618,110249.8828,0.045795582,2015,71.00685883,13.19999981,8.380000114,Guanajuato,0.272700012,0.363600016,0.416669995,0.419049978,0.714290023,0.571430027,0.526315789,0.47518797
Guerrero,Guerrero 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,45.45000076,41.93000031,4,11,15,26.66699982,35.23799896,6,9,15,40,48,1,0,1,37.77799988,17,11,11,6,28,17,45,2,Ley No. 483 de Instituciones y Procedimientos Electorales del Estado de Guerrero,2014,4,1998,17,229580.5625,0.010767073,0.010658276,0.01015733,0.010118099,1,3576592,64189.75391,0.011851725,2015,59.50101089,12.89999962,7.800000191,Guerrero,0.45450002,0.41929999,0.266669989,0.352379978,0.400000006,0.479999989,0.333333333,0.416190476
Hidalgo,Hidalgo 1 (2016-2018),Leg. 1,2016-2018,2016,2017,2018,,,40,33.33000183,4,9,13,30.7689991,30.57699966,9,9,18,50,50.92599869,1,0,1,40,9,9,9,3,18,12,30,2,C√≥digo Electoral del Estado de Hidalgo,2014,5,2007,9,268833.625,0.01298955,0.012415512,0.011530539,0.010846465,0,2938756,91478.71094,0.031962235,2015,52.35416412,14.89999962,8.720000267,Hidalgo,0.400000006,0.333300024,0.307689995,0.30577001,0.5,0.509259999,0.419354839,0.423924731
Jalisco,Jalisco 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,20,41.25,10,14,24,41.66699982,44.47100067,10,8,18,55.55599976,61.33200073,0,0,0,41.02600098,12,8,11,8,23,16,39,0,C√≥digo Electoral y de Participaci√≥n Ciudadana del Estado de Jalisco,2014,5,2002,13,1104884.875,0.060326111,0.058195636,0.055439517,0.054120708,1,7963314,138746.875,0.06679634,2015,86.50934601,19,9.25,Jalisco,0.200000003,0.412499994,0.416669995,0.444710016,0.555559993,0.613319993,0.513888889,0.510278225
Michoacán,Michoacán 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,25,37.5,10,14,24,41.66699982,39.87799835,10,11,21,47.61899948,51.11100006,0,0,0,42.5,13,11,10,6,23,17,40,0,C√≥digo Electoral del Estado de Michoac√°n,2014,4,2001,14,386038.375,0.019625589,0.019264193,0.018121082,0.017700085,1,4644732,83113.16406,0.025797267,2015,68.6548996,13.30000019,7.929999828,Michoacán,0.25,0.375,0.416669995,0.398779988,0.476190001,0.511110008,0.469135802,0.448705307
Morelos,Morelos 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,60,52.63000107,1,13,14,7.143000126,11.37800026,4,9,13,30.7689991,23.16900063,0,0,,20,15,3,9,3,24,6,30,,C√≥digo Electoral del Estado Libre y Soberano de Morelos,2014,4,2005,10,187472.3906,0.008382942,0.008280464,0.008080241,0.007717408,1,1930505,97110.54688,0.036112595,2015,82.64024353,18.10000038,9.300000191,Morelos,0.600000024,0.526300013,0.071429998,0.113779999,0.307689995,0.231690004,0.185185185,0.170546737
Nayarit,Nayarit 1 (2014-2017),Leg. 1,2014-2017,2014,2015,2016,2017,,0,20,5,8,13,38.4620018,41.39899826,6,5,11,54.54499817,53.50699997,0,0,1,50,10,8,5,7,15,15,30,1,Ley Electoral del Estado de Nayarit,2013,2,2004,10,108986.7344,0.003939146,0.003635708,0.003475632,0.003470193,1,1176131,92665.46875,0.03283681,2015,69.31916809,18.70000076,9.159999847,Nayarit,0,0.200000003,0.384620011,0.413989991,0.545449972,0.535070002,0.458333333,0.469480519
Nuevo León,Nuevo León 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,33.33000183,53.33000183,8,16,24,33.33300018,37.33800125,5,8,13,38.4620018,49.94400024,0,0,0,38.09500122,16,10,10,6,26,16,42,0,Ley Electoral para el Estado de Nuevo Le√≥n,2014,4,2008,7,1228082.5,0.06730146,0.063512854,0.061465006,0.060831886,1,5205425,235923.5781,0.138410404,2015,93.83496857,24.20000076,10.27000046,Nuevo León,0.333300024,0.533300042,0.333330005,0.373380005,0.384620011,0.499440014,0.313333333,0.413717005
Oaxaca,Oaxaca 1 (2016-2018),Leg. 1,2016-2018,2016,2017,2018,,,50,16.65999985,8,11,19,42.10499954,39.64899826,12,8,20,60,52.7820015,0,1,1,42.85699844,14,11,10,7,24,18,42,2,NA,2015,5,1997,19,256580.3438,0.012295779,0.0125241,0.011936743,0.011669323,1,4046494,63408.0625,0.011275658,2015,48.41831589,11.60000038,7.519999981,Oaxaca,0.5,0.166600004,0.421049982,0.396489978,0.600000024,0.527819991,0.5,0.462155388
Puebla,Puebla 1 (2014-2018),Leg. 1,2014-2018,2014,2015,2016,2017,2018,40,33.86999893,5,17,22,22.72699928,17.10000038,9,20,29,31.0340004,32.55699921,0,0,0,29.26799965,18,8,11,4,29,12,41,0,C√≥digo de Instituciones y Procesos Electorales del Estado de Puebla,2013,3.5,2000,14,526200.6875,0.027561469,0.027168296,0.027449667,0.025701672,1,6198759,84888.07031,0.027105277,2015,72.0590744,16.5,8.489999771,Puebla,0.400000006,0.338699996,0.227269992,0.171000004,0.310340017,0.325569987,0.299019608,0.261923044
Querétaro,Querétaro 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,44.43999863,48,3,7,10,30,41.33300018,10,5,15,66.66699982,58.66699982,0,0,0,52,7,8,5,5,12,13,25,0,Ley Electoral del Estado de Quer√©taro,2014,4,2002,13,362418.9063,0.018288275,0.017169908,0.015885968,0.015789978,1,2069556,175119.1563,0.093600787,2015,68.78833008,21.20000076,9.550000191,Querétaro,0.444399983,0.479999989,0.300000012,0.413329989,0.666670024,0.586669981,0.52,0.517333333
Quintana Roo,Quintana Roo 1 (2016-2019),Leg. 1,2016-2019,2016,2017,2018,2019,,0,46.59999847,,,,,,,,,,,0,1,0,44,7,8,7,3,14,11,25,1,Ley Electoral de Quintana Roo,2015,3,2004,12,261497.5938,0.01257419,0.011588104,0.010974968,0.010523163,0,1564920,167099.6563,0.087690838,2015,88.89157104,18.60000038,9.619999886,Quintana Roo,0,0.465999991,,,,,0,0
